sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,peak_x_um,peak_y_um,peak_intensity_counts,total_power_mW
37,2026-06-25T15:35:27.903277,26.0,26.01,-593.4023445128696,98.6857056998997,-335.3999900817871,-1444.7999572753906,255.0,0.0008350382904254485
38,2026-06-25T15:35:29.285404,24.0,26.01,-597.156445964356,99.1644166232436,-335.3999900817871,-1444.7999572753906,255.0,0.0008351384150369739
39,2026-06-25T15:35:30.778627,22.0,24.01,-600.1428777608089,98.70105909300037,-644.9999809265137,-1406.0999584197998,255.0,0.0008350118859349671
40,2026-06-25T15:35:32.848663,20.0,20.01,-603.6958103950019,98.4349336125888,-644.9999809265137,-1406.0999584197998,255.0,0.0008350826665192919
41,2026-06-25T15:35:34.841645,18.0,20.01,-607.0546603933326,98.41761183575727,-715.9499788284302,-1406.0999584197998,255.0,0.0008352264465897086
42,2026-06-25T15:35:36.469867,16.0,18.01,-610.601687876333,98.6069703506655,-341.84998989105225,-1431.8999576568604,255.0,0.000835200769761659
43,2026-06-25T15:35:38.519830,14.0,14.01,-614.4396424747538,98.70224012323888,-348.2999897003174,-1425.4499578475952,255.0,0.0008351512523938388
44,2026-06-25T15:35:40.400872,12.0,14.01,-618.0701294279424,98.92112439410994,-341.84998989105225,-1431.8999576568604,255.0,0.0008351175089067241
45,2026-06-25T15:35:42.172742,10.0,10.01,-621.8537566353916,98.83372815645998,-348.2999897003174,-1425.4499578475952,255.0,0.0008352121408309836
46,2026-06-25T15:35:44.107422,8.0,8.01,-625.5102262538276,98.73412793967873,-348.2999897003174,-1425.4499578475952,255.0,0.0008352227784230863
47,2026-06-25T15:35:46.364613,6.0,8.01,-629.3426693778019,98.79908460279694,-348.2999897003174,-1425.4499578475952,255.0,0.0008351908660532239
48,2026-06-25T15:35:48.171354,4.0,4.01,-633.5920161759714,98.98844311770517,-348.2999897003174,-1425.4499578475952,255.0,0.0008352429535388712
49,2026-06-25T15:35:50.055000,2.0,4.01,-637.650823428994,98.88136304274667,-348.2999897003174,-1425.4499578475952,255.0,0.00083515492024633
50,2026-06-25T15:35:51.906095,0.0,0.0,-641.3986260525417,98.7860932701733,-348.2999897003174,-1425.4499578475952,255.0,0.0008353478719970973
51,2026-06-25T15:35:53.486247,2.0,0.0,-641.6785302190692,98.80971387494355,-354.7499895095825,-1425.4499578475952,255.0,0.0008352407525934678
52,2026-06-25T15:35:55.022873,4.0,2.03,-639.7353417999693,98.77428296778817,-354.7499895095825,-1425.4499578475952,255.0,0.000835169591817382
53,2026-06-25T15:35:57.012319,6.0,4.01,-637.3732813229435,98.86128552869195,-348.2999897003174,-1425.4499578475952,255.0,0.0008351860976428986
54,2026-06-25T15:35:58.798738,8.0,6.01,-634.8218623310095,98.93096631276421,-348.2999897003174,-1425.4499578475952,255.0,0.0008352110403981537
55,2026-06-25T15:36:00.444401,10.0,8.01,-632.3298885277472,98.77625135151902,-348.2999897003174,-1425.4499578475952,255.0,0.0008351424496135829
56,2026-06-25T15:36:02.121475,12.0,10.01,-629.490298157616,98.64870008575963,-348.2999897003174,-1425.4499578475952,255.0,0.0008352114072089361
57,2026-06-25T15:36:03.925638,14.0,12.01,-626.7144834203646,98.81246961216675,-348.2999897003174,-1425.4499578475952,255.0,0.0008352561593330898
58,2026-06-25T15:36:05.502982,16.0,14.01,-624.311480561737,98.9908051781822,-348.2999897003174,-1425.4499578475952,255.0,0.0008351244775586577
59,2026-06-25T15:36:07.135150,18.0,16.01,-621.2152129531023,98.89907849632436,-341.84998989105225,-1431.8999576568604,255.0,0.0008351200762980391
60,2026-06-25T15:36:08.928308,20.0,18.01,-618.2453155799885,98.85223096353002,-341.84998989105225,-1431.8999576568604,255.0,0.0008351090732479744
61,2026-06-25T15:36:10.592599,22.0,20.01,-615.1266083968221,98.74869397928705,-348.2999897003174,-1425.4499578475952,255.0,0.0008352150753256179
62,2026-06-25T15:36:12.332866,24.0,22.01,-611.7661836915067,98.63216566242045,-341.84998989105225,-1431.8999576568604,255.0,0.0008351233772413285
63,2026-06-25T15:36:14.016786,26.0,24.01,-608.628186347778,98.70971998141613,-341.84998989105225,-1431.8999576568604,255.0,0.0008350643290045345
64,2026-06-25T15:36:15.839137,28.0,26.01,-605.248077805154,98.28415541880531,-341.84998989105225,-1425.4499578475952,255.0,0.0008351307127175726
65,2026-06-25T15:36:17.565733,30.0,28.01,-601.2034429149935,98.4754823174444,-341.84998989105225,-1425.4499578475952,255.0,0.0008351464842096831
66,2026-06-25T15:36:19.197495,32.0,32.02,-598.3949530078098,98.8837251032237,-335.3999900817871,-1444.7999572753906,255.0,0.0008351483181234447
67,2026-06-25T15:36:21.019474,34.0,32.02,-595.0069709302625,99.34983837069012,-335.3999900817871,-1444.7999572753906,255.0,0.0008352444208390297
68,2026-06-25T15:36:22.625753,36.0,34.01,-591.3103462837171,99.1222932114033,-335.3999900817871,-1444.7999572753906,255.0,0.00083506359551232
69,2026-06-25T15:36:24.540175,38.0,36.01,-587.5932504463708,98.37706313090166,-386.9999885559082,-1451.2499570846558,255.0,0.0008351391485949082
70,2026-06-25T15:36:26.315721,40.0,38.01,-583.8761546090245,99.08095715305535,-335.3999900817871,-1444.7999572753906,255.0,0.0008352462549678522
71,2026-06-25T15:36:28.900179,42.0,40.02,-580.1870098206564,98.29320998396724,-335.3999900817871,-1444.7999572753906,255.0,0.0008351182424462943
72,2026-06-25T15:36:31.390496,44.0,42.02,-576.2526044194237,98.49634718499146,-386.9999885559082,-1451.2499570846558,255.0,0.0008351406157127082
73,2026-06-25T15:36:34.173709,46.0,44.02,-572.170570238377,98.46209730807459,-386.9999885559082,-1451.2499570846558,255.0,0.0008352180098305625
74,2026-06-25T15:36:37.064851,48.0,48.02,-568.3078140049474,98.13416457851417,-386.9999885559082,-1451.2499570846558,255.0,0.0008351747269281421
75,2026-06-25T15:36:40.055801,50.0,50.02,-564.3179001825047,98.2707704094355,-386.9999885559082,-1451.2499570846558,255.0,0.0008352198439013883
76,2026-06-25T15:36:41.844009,48.0,48.02,-564.0765763371019,98.32982192136114,-386.9999885559082,-1451.2499570846558,255.0,0.0008351266781976644
77,2026-06-25T15:36:43.536069,46.0,48.02,-565.5316055909498,98.38533034257125,-386.9999885559082,-1451.2499570846558,255.0,0.0008352682648278758
78,2026-06-25T15:36:45.105522,44.0,46.02,-568.355055214488,98.88963025441626,-386.9999885559082,-1451.2499570846558,255.0,0.0008351849972443828
79,2026-06-25T15:36:46.978463,42.0,44.02,-570.832856654888,98.58295606914908,-335.3999900817871,-1444.7999572753906,255.0,0.000835169225024965
80,2026-06-25T15:36:48.722921,40.0,40.02,-573.3374281140277,98.63846449035918,-386.9999885559082,-1451.2499570846558,255.0,0.000835145017081573
81,2026-06-25T15:36:50.669639,38.0,40.02,-575.9624646574957,98.2802186513436,-335.3999900817871,-1444.7999572753906,255.0,0.0008351406157127082
82,2026-06-25T15:36:52.586511,36.0,36.01,-578.8166210672352,98.28573012579,-335.3999900817871,-1444.7999572753906,255.0,0.0008351904992514636
83,2026-06-25T15:36:54.328541,34.0,36.01,-581.3900859569549,98.49359144776827,-335.3999900817871,-1444.7999572753906,255.0,0.0008352477222738096
84,2026-06-25T15:36:55.773416,32.0,34.01,-584.1737742291298,98.44989332894329,-386.9999885559082,-1451.2499570846558,255.0,0.0008353174222760347
85,2026-06-25T15:36:57.612405,30.0,30.01,-587.1531198441517,98.41879286599578,-341.84998989105225,-1431.8999576568604,255.0,0.0008353247594567127
86,2026-06-25T15:36:59.392858,28.0,30.01,-590.3281228020205,98.42076124972664,-715.9499788284302,-1406.0999584197998,255.0,0.0008352807373393387
87,2026-06-25T15:37:01.276139,26.0,28.01,-593.334238435782,98.67310804402223,-548.2499837875366,-1406.0999584197998,255.0,0.0008351464842096831
88,2026-06-25T15:37:03.047339,24.0,24.01,-596.5627814311301,98.80538343073567,-348.2999897003174,-1425.4499578475952,255.0,0.0008353078840375019
89,2026-06-25T15:37:05.183297,22.0,24.01,-599.9476140947081,98.95222485705744,-348.2999897003174,-1425.4499578475952,255.0,0.0008352103067770729
90,2026-06-25T15:37:07.176916,20.0,22.01,-603.6288853481528,98.9841126734973,-715.9499788284302,-1406.0999584197998,255.0,0.0008352781694541068
91,2026-06-25T15:37:08.778003,18.0,20.01,-606.7743625500589,98.69633497204632,-348.2999897003174,-1425.4499578475952,255.0,0.0008353772221763572
92,2026-06-25T15:37:10.515020,16.0,18.01,-610.4182345126173,98.88175671949284,-348.2999897003174,-1425.4499578475952,255.0,0.0008353522744582469
93,2026-06-25T15:37:12.288655,14.0,16.01,-613.7877137830947,98.71247571863933,-393.44998836517334,-1431.8999576568604,255.0,0.0008353320967018384
94,2026-06-25T15:37:13.988780,12.0,14.01,-617.6670044398634,98.73570264666341,-393.44998836517334,-1431.8999576568604,255.0,0.0008352814710222834
95,2026-06-25T15:37:15.920945,10.0,12.01,-621.3148131698836,98.86246655893046,-393.44998836517334,-1431.8999576568604,255.0,0.0008354084078717398
96,2026-06-25T15:37:17.816383,8.0,10.01,-624.9362455579103,98.86994641710771,-348.2999897003174,-1425.4499578475952,255.0,0.0008352315820500452
97,2026-06-25T15:37:19.766975,6.0,8.01,-629.2182675260119,99.0219056411297,-715.9499788284302,-1406.0999584197998,255.0,0.0008352323156898135
