sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,peak_intensity_counts,total_power_mW
146,2026-07-01T15:11:25.415451,9.4,9.52,-406.26259174605366,104.5652679039631,-463.6346786725335,886.3801221040194,8.0,7.455476975852385e-06
147,2026-07-01T15:11:26.426749,9.3,9.42,-406.8531068653101,102.23194582940778,-466.0601211056928,862.4906361161266,7.0,7.4424238766196435e-06
148,2026-07-01T15:11:27.427535,9.2,9.32,-404.09422022814397,106.3037444150541,-466.91951744258404,868.3973620156758,8.0,7.452216465673485e-06
149,2026-07-01T15:11:28.448905,9.1,9.22,-401.6298037971137,103.23306579492055,-473.1006360342144,838.9507350788335,7.0,7.456059827706387e-06
150,2026-07-01T15:11:29.420726,9.0,9.11,-395.3014501024154,103.95743100787513,-466.1026381942793,879.9305159715004,8.0,7.468644810960762e-06
151,2026-07-01T15:11:30.552051,8.9,9.02,-392.12211670033867,103.91963804024272,-426.3282954983879,871.6983415323193,7.0,7.475372051491902e-06
152,2026-07-01T15:11:31.542820,8.8,8.92,-393.8542943834909,101.1320130006061,-461.83990638674004,862.841795773711,8.0,7.47324493246261e-06
153,2026-07-01T15:11:32.503593,8.7,8.82,-407.3578004539013,103.26652831834508,-441.0187369585037,876.1342911081738,7.0,7.446092135992597e-06
154,2026-07-01T15:11:33.515086,8.6,8.72,-400.5668765824521,103.54210204066476,-460.5384110638988,841.9139399472624,7.0,7.451810638529077e-06
155,2026-07-01T15:11:34.506615,8.5,8.62,-411.36818546714494,103.55115660582669,-412.66416931553977,867.3604174662614,7.0,7.4343091313266094e-06
156,2026-07-01T15:11:35.579138,8.4,8.42,-400.6723819504259,101.7000885453308,-472.943165335746,869.6846849756548,7.0,7.454651892712121e-06
157,2026-07-01T15:11:36.610546,8.3,8.32,-403.762744407868,106.56908254197333,-475.215861191391,854.2222434162977,7.0,7.449487376358085e-06
158,2026-07-01T15:11:37.611888,8.2,8.22,-406.65587481547846,101.6418243868975,-450.84530221967725,866.1656085416325,7.0,7.450135199163955e-06
159,2026-07-01T15:11:38.632556,8.1,8.22,-410.0836182443891,103.85507505387068,-452.90619998588227,857.4110250602826,8.0,7.437326625781137e-06
160,2026-07-01T15:11:39.634426,8.0,8.12,-400.2641391646466,102.61774904065533,-461.24151773256017,851.6763358988101,7.0,7.453709052359799e-06
161,2026-07-01T15:11:40.795660,8.1,8.12,-403.5159090880188,106.66080922383117,-466.8061385396868,851.8495536671253,7.0,7.456505183425374e-06
162,2026-07-01T15:11:41.807477,8.2,8.22,-408.0711427179631,104.5436156829237,-466.5360762918135,880.2186873496976,8.0,7.445464284262774e-06
163,2026-07-01T15:11:42.799036,8.3,8.32,-408.1660188137903,101.52805180725409,-453.79315369500546,862.4347340181703,8.0,7.43468788376617e-06
164,2026-07-01T15:11:43.809775,8.4,8.42,-403.3300936638261,105.47938530857209,-463.5331100720214,858.5408773217932,8.0,7.447341456792591e-06
165,2026-07-01T15:11:44.810908,8.5,8.42,-404.86897606460843,100.77494819182903,-469.4595198088791,854.282869635208,7.0,7.4417767243480114e-06
166,2026-07-01T15:11:45.852451,8.6,8.52,-406.08228779630736,106.18288565397961,-455.5524950736435,857.3649648809806,7.0,7.439587283003248e-06
167,2026-07-01T15:11:46.924121,8.7,8.62,-404.267044319713,103.243301390321,-458.2483934314223,837.422875626944,7.0,7.4478517109046615e-06
168,2026-07-01T15:11:47.945897,8.8,8.72,-404.83078942022985,102.78663636476267,-458.3826372018666,866.6947100884863,8.0,7.445555842675999e-06
169,2026-07-01T15:11:48.917503,8.9,8.82,-400.84796177921817,103.40352782601258,-420.5408536529285,871.4637101916014,7.0,7.446471488735654e-06
170,2026-07-01T15:11:49.989020,9.0,8.92,-407.31607071880717,104.5369231782388,-480.32460432645166,860.4458790965145,7.0,7.439319365771782e-06
171,2026-07-01T15:11:51.191417,9.1,9.02,-401.9986789082759,101.72922062454745,-450.38312571967253,858.1790883920621,7.0,7.451699367205013e-06
172,2026-07-01T15:11:52.233616,9.2,9.22,-408.8644013614976,102.39256594184553,-446.6380788333481,882.6449171363492,7.0,7.434485444716953e-06
173,2026-07-01T15:11:53.244815,9.3,9.22,-404.5953707260196,102.48744203767274,-476.68112604063936,872.0782395923743,8.0,7.438019124070501e-06
174,2026-07-01T15:11:54.215887,9.4,9.32,-408.35931409616023,102.81025696953293,-470.91533641621936,888.1748943898128,8.0,7.4388227642267785e-06
175,2026-07-01T15:11:55.247342,9.5,9.42,-410.5713837328949,107.29305407818174,-459.72153181559406,850.278389773157,7.0,7.434844614557801e-06
176,2026-07-01T15:11:56.219104,9.6,9.52,-408.4829285944579,99.90531625953736,-447.3529958043946,879.7742263032706,8.0,7.4290347243315055e-06
177,2026-07-01T15:11:57.239936,9.7,9.62,-403.78124721493805,102.30713808792643,-457.7035448147217,865.660127599549,8.0,7.442221226927163e-06
178,2026-07-01T15:11:58.191424,9.8,9.72,-409.35846567794215,103.8657043260173,-433.597930293181,877.4944442661945,7.0,7.4275144581467275e-06
179,2026-07-01T15:11:59.233488,9.9,9.92,-409.8131623197696,101.6906403034227,-463.19021762610646,858.4365529840579,7.0,7.431606182883724e-06
180,2026-07-01T15:12:00.224445,10.0,9.92,-403.5800783976447,102.49807130981935,-457.7696825080784,865.3270770722884,7.0,7.445667022262853e-06
181,2026-07-01T15:12:01.376333,10.1,10.12,-408.6352814952261,100.10097360238433,-439.6089805304655,871.8408525144332,8.0,7.443384903512868e-06
